dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
2,"00:00:06,405 --> 00:00:08,536
","~ <i>Tulou...</i> ~
Pardon us...

",0.236907,0.491584,0.165993,0.086915,0.040087,0.309889,0.161339,0.647254,0.239539,0.135171,0.0,0.0,0.0
3,"00:00:11,469 --> 00:00:13,481
","~ <i>Oh Tagaloa</i> ~

",0.258794,0.376673,0.289068,0.087967,0.028762,0.138053,0.251293,0.572949,0.275242,0.064817,0.0,0.0,0.0
4,"00:00:15,017 --> 00:00:19,207
","~ <i>Sei e va'ai mai</i> ~
Look down...

",0.455471,0.408555,0.101053,0.067008,0.027989,0.043061,0.129087,0.595196,0.402351,0.089061,0.0,0.0,0.0
5,"00:00:19,454 --> 00:00:22,270
","~ <i>I le tātou lalolagi</i> ~
Upon our world

",0.413644,0.585937,0.038843,0.024552,0.014195,0.39993,0.174277,0.60224,0.148689,0.166043,0.0,0.0,0.0
6,"00:00:22,739 --> 00:00:26,733
","~ <i>Sei e va'ai mai</i> ~
Look down...

",0.455471,0.408555,0.101053,0.067008,0.027989,0.043061,0.129087,0.595196,0.402351,0.089061,0.0,0.0,0.0
7,"00:00:27,051 --> 00:00:30,363
","~ <i>I le tātou lalolagi</i> ~
Upon our world

",0.413644,0.585937,0.038843,0.024552,0.014195,0.39993,0.174277,0.60224,0.148689,0.166043,0.0,0.0,0.0
8,"00:00:30,610 --> 00:00:33,364
","~ <i>Sei e mālamalama</i> ~
The light

",0.196607,0.633536,0.135827,0.059715,0.027353,0.043183,0.132439,0.564921,0.315944,0.108867,0.0,0.0,0.0
9,"00:00:33,412 --> 00:00:34,602
","~ <i>Ko au e tu atu</i> ~
I stand before you

",0.200445,0.22898,0.329015,0.204895,0.09625,0.004918,0.171799,0.584501,0.305503,0.257004,0.0,0.0,0.0
10,"00:00:34,642 --> 00:00:37,975
","~ <i>E lelei ma le mānaia</i> ~
It is good and beautiful

",0.246334,0.704983,0.054964,0.026103,0.005608,0.207483,0.270739,0.661752,0.574174,0.099984,0.0,0.0,0.0
11,"00:00:38,237 --> 00:00:41,359
","~ <i>Sei e va'ai mai</i> ~
Look down...

",0.455471,0.408555,0.101053,0.067008,0.027989,0.043061,0.129087,0.595196,0.402351,0.089061,0.0,0.0,0.0
12,"00:00:41,427 --> 00:00:43,427
","~ <i>E taunuku te malaga</i> ~
The journey has begun

",0.077385,0.687097,0.172927,0.076122,0.039217,0.018725,0.177053,0.38868,0.079324,0.089739,0.0,0.0,0.0
13,"00:00:43,474 --> 00:00:46,951
","~ <i>Mānaia o le tātou ōlaga.</i> ~
At how beautiful our lives are.

",0.157981,0.831851,0.032209,0.01342,0.009742,0.014455,0.217188,0.744271,0.353954,0.165634,0.0,0.0,0.880065
14,"00:00:47,118 --> 00:00:49,181
","This Subtitle was Transcripted by
~ Penny Hamada ~

",0.339423,0.16585,0.315612,0.138329,0.0965,0.599944,0.113843,0.720489,0.48291,0.398181,0.0,0.0,0.0
15,"00:00:49,229 --> 00:00:50,928
","Lyrics was Translated from
www.lyricstranslate.com

",0.138946,0.198455,0.480724,0.245516,0.023818,0.750711,0.094388,0.6404,0.362944,0.08241,0.0,0.0,0.0
16,"00:00:51,958 --> 00:00:56,206
","In the beginning,
there was only ocean

",0.449869,0.163726,0.257769,0.126153,0.061927,0.895079,0.070165,0.379053,0.314139,0.464681,0.747663,0.0,0.0
17,"00:00:56,752 --> 00:01:00,760
","Untill the Mother Island image...

",0.400918,0.250299,0.110108,0.108937,0.211685,0.183056,0.248637,0.576571,0.464078,0.294566,0.0,0.0,0.0
18,"00:01:00,990 --> 00:01:02,798
","...Te Fiti.

",0.27683,0.532562,0.106019,0.086992,0.066042,0.230616,0.274653,0.599283,0.543464,0.280033,0.0,0.0,0.0
19,"00:01:03,284 --> 00:01:07,165
","Her heart have a greatest
power ever known...

",0.205871,0.646591,0.153471,0.031526,0.020251,0.489652,0.16069,0.637611,0.278599,0.554161,0.908592,0.0,0.952663
20,"00:01:07,284 --> 00:01:10,332
","...each could create life itself.

",0.0915,0.684357,0.254927,0.013155,0.018467,0.507761,0.301674,0.60403,0.405338,0.39345,0.0,0.968123,0.0
21,"00:01:10,490 --> 00:01:14,935
","And Te Fiti share it with the world.

",0.185327,0.710828,0.034121,0.061433,0.069899,0.754177,0.903528,0.494596,0.770054,0.840952,0.0,0.0,0.0
22,"00:01:17,070 --> 00:01:21,448
","But in time,
some began to seek Te Fiti's heart

",0.217922,0.407086,0.377255,0.045337,0.02025,0.267614,0.36672,0.797195,0.154968,0.099592,0.280846,0.978371,0.0
23,"00:01:21,546 --> 00:01:27,177
","They believe that they could possesed
the great power of creation would prevails

",0.414992,0.166395,0.42729,0.035133,0.019199,0.949233,0.656197,0.677188,0.365819,0.851555,0.0,0.959646,0.0
24,"00:01:27,827 --> 00:01:30,200
","And one day...

",0.13126,0.178244,0.621768,0.105868,0.017032,0.046941,0.338744,0.585633,0.382704,0.307159,0.0,0.0,0.0
25,"00:01:30,427 --> 00:01:33,361
","The most tearing of them all.

",0.613998,0.114582,0.20932,0.055855,0.09998,0.786664,0.33381,0.536029,0.432306,0.21912,0.0,0.0,0.80026
26,"00:01:33,435 --> 00:01:37,727
","A boy across the ocean to take it.

",0.184533,0.143873,0.419181,0.239749,0.139876,0.613591,0.195309,0.583313,0.726647,0.790656,0.0,0.0,0.0
27,"00:01:38,934 --> 00:01:43,649
","He was a demigod
of the wind and sea.

",0.138065,0.339058,0.518614,0.032855,0.045872,0.97446,0.105458,0.341273,0.332719,0.343851,0.144086,0.0,0.0
28,"00:01:44,997 --> 00:01:47,492
","He was a warrior.

",0.361283,0.181343,0.180695,0.21756,0.108797,0.493816,0.265284,0.582483,0.522606,0.466911,0.0,0.0,0.0
29,"00:01:48,132 --> 00:01:49,805
","A trickster!

",0.192971,0.595831,0.094792,0.133469,0.124286,0.261859,0.271885,0.568774,0.564852,0.248452,0.0,0.0,0.0
30,"00:01:51,854 --> 00:01:58,409
","A shape shifter who could change
form with the power of his magical fish hook.

",0.08374,0.417647,0.38324,0.03986,0.14952,0.982431,0.295981,0.53876,0.554457,0.666733,0.144086,0.944845,0.0
31,"00:01:59,584 --> 00:02:01,748
","And his name...

",0.461119,0.260655,0.075343,0.068742,0.212883,0.678837,0.27555,0.601164,0.543791,0.40964,0.0,0.0,0.0
32,"00:02:02,076 --> 00:02:04,290
","...was Maui

",0.275542,0.408598,0.184318,0.103542,0.080267,0.299356,0.274476,0.599576,0.545239,0.330012,0.0,0.0,0.0
33,"00:02:13,972 --> 00:02:17,853
","But without her heart,
Te Fiti began to crumble.

",0.349625,0.134569,0.41351,0.091626,0.045206,0.281526,0.189653,0.698725,0.284125,0.037509,0.0,0.0,0.0
34,"00:02:17,972 --> 00:02:21,627
","Giving birth to a
terrible darkness.

",0.091509,0.451963,0.336065,0.087442,0.111587,0.61608,0.079454,0.614661,0.340277,0.04562,0.51064,0.0,0.0
35,"00:02:39,631 --> 00:02:43,531
","Maui trying to escape,
but was confronted by another...

",0.164941,0.037861,0.494598,0.338918,0.051963,0.701011,0.157022,0.762958,0.496106,0.488626,0.0,0.920133,0.0
36,"00:02:43,531 --> 00:02:45,786
","...who soak the heart.

",0.135302,0.552916,0.167793,0.146852,0.052075,0.360781,0.311054,0.602078,0.486952,0.270077,0.0,0.0,0.0
37,"00:02:47,610 --> 00:02:52,205
","Te Kā!
A demon of earth and fire.

",0.07043,0.247989,0.483925,0.143027,0.127153,0.798012,0.212669,0.535358,0.336228,0.530836,0.0,0.0,0.0
38,"00:02:59,944 --> 00:03:03,125
","Maui distract from the sky.

",0.470439,0.28999,0.188233,0.039037,0.09044,0.326312,0.290131,0.588853,0.586769,0.514256,0.0,0.0,0.0
39,"00:03:04,182 --> 00:03:05,715
","Never to be seen again.

",0.496519,0.26783,0.071538,0.096173,0.164001,0.004902,0.317131,0.734808,0.080177,0.247111,0.0,0.0,0.849827
40,"00:03:07,070 --> 00:03:11,864
","And his magical fish hook
and the heart of Te Fiti...

",0.120422,0.558673,0.151369,0.043822,0.188316,0.97163,0.435689,0.772333,0.689354,0.587633,0.0,0.0,0.0
41,"00:03:11,903 --> 00:03:15,182
","...were lost to the sea.

",0.724346,0.112972,0.088358,0.115406,0.026713,0.334175,0.252482,0.518095,0.391845,0.431707,0.0,0.0,0.0
42,"00:03:15,506 --> 00:03:19,109
","Were even know,
a thousand years later...

",0.265079,0.606588,0.068295,0.036115,0.086025,0.009964,0.096626,0.644983,0.141081,0.256372,0.931994,0.991679,0.0
43,"00:03:19,125 --> 00:03:22,038
","Te Kā and the demons of deeds...

",0.093277,0.229513,0.517816,0.120762,0.118052,0.74325,0.356389,0.588407,0.502767,0.705017,0.0,0.0,0.0
